state (from\to) (User order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.759643365658541	0.08053098222481872	0.04113016124131113	3.5616056494134013E-4	0.11453057287002691	7.473045855945863E-4	0.0011978709674714074	5.759709071220205E-4	0.0	0.0	6.121652869932077E-7	0.0012544370313235542	0.0	0.0	3.256178356235157E-5
2	0.13369631804700463	0.4366683128008059	0.18206056182755548	0.02968968735090592	0.005752228958764736	6.725430938636945E-5	0.001118593973793597	0.024042804499026772	0.0017365126794133359	4.1523894931640566E-4	5.173738603972278E-5	0.04723473819978517	1.7816119912988142E-4	0.0060198636849325025	0.1312679861341395
3	0.020851687066988797	0.051286083264567205	0.5553423346114577	0.011176814169981885	0.04449707879782507	7.78237247623348E-4	0.011376012504178827	0.2866073419319101	4.899980583996672E-4	0.006909365818268323	0.0	2.8391660018475833E-4	1.6315778670394645E-5	5.502265728573182E-5	0.010329791492658023
4	5.05436997282056E-4	0.018170649740178974	0.02348981150851852	0.7924376887617031	0.0	0.0	1.330192066795482E-4	0.005697176552627439	0.016350497195047255	0.14061991832127455	0.0	0.0010016257954482963	0.0	0.0	0.001594175921240442
5	0.08587905936398046	0.002168925629444137	0.06783910701164458	0.0	0.6803412129508967	0.11580398895247113	0.014506982886581156	0.031001778929986436	0.0	0.0	0.0	0.002050014860849752	0.0	0.0	4.089294141455968E-4
6	4.1515131039655736E-4	4.607723526269131E-6	9.549710716528042E-4	0.0	0.0811658251792516	0.7447025273639899	0.020466033931916906	0.1353724783013141	0.0	0.0	3.207647437800886E-4	0.012831386643373091	0.0	1.842876437319129E-4	0.0035819660870667373
7	2.6241903843928464E-4	1.7163497816351502E-4	0.005568375769621709	4.524052102471126E-5	0.004504027196751366	0.008936304285838881	0.8611533477556904	0.03302052455908164	0.0	7.4975475907688E-5	0.0846298983613131	9.965784219086351E-4	0.0	0.0	6.366736362589177E-4
8	3.781712005241635E-5	7.227972580229101E-4	0.02973550138405014	2.8200384957601E-4	0.0020423125459999004	0.01348329619637395	0.0071194489697206775	0.8122853597065947	0.0010757650380604185	0.002409376427457919	0.0033104820971556724	0.002599832463720184	0.0	0.0013456966333913578	0.1235503103098239
9	0.0	6.076983367639763E-4	3.9733911715669886E-4	0.007191685080966019	0.0	0.0	5.812514379471179E-6	0.009794514174500371	0.8266984155569378	0.07400114374506835	1.6541815735955344E-4	9.764843185733579E-4	0.0	0.0010594558864230154	0.07910203311187128
10	0.0	3.0064823254533806E-4	0.011781034029427238	0.13579854525264776	0.0	0.0	3.626385321320241E-4	0.04391846137232737	0.16642387310571272	0.6312594879180029	1.254220615559231E-4	4.34427086292334E-4	0.0	1.3394918190360884E-4	0.00946151322745283
11	0.0	0.0	0.0	0.0	0.0	4.6093918577263245E-5	0.026757920297872592	0.0046013144481388685	3.66717050611242E-5	1.2596884750002954E-5	0.9444814188061608	0.0012991816993540891	0.0	1.3557925889702853E-4	0.022629222981188097
12	0.0010664093739207357	0.01666774002755739	4.967728744808347E-4	4.609547213069612E-4	0.0017863629453113	0.01348530801282952	0.0026111830284405776	0.027787686564173998	0.001513611163845898	2.697459936203959E-4	0.01016618870859581	0.7673625597529442	0.05615287515900492	0.045017084999775164	0.05515551667419224
13	4.98025528590087E-6	9.786341499857859E-5	0.0	0.0	0.0	0.0	0.0	0.0	4.8456217139674165E-8	2.2840756552376534E-7	0.0	0.016587847603371703	0.8491567104454731	0.12916900019821198	0.004983321218876103
14	0.0	2.1679001292367384E-4	3.6868410607021876E-6	1.0202517967018182E-5	4.814715062486583E-6	3.487366981699634E-5	0.0	0.0021725599296493537	2.1346216710410338E-4	1.298659508612143E-5	1.0682249097612204E-4	0.006060489122295649	0.06012082665462138	0.7935396850982284	0.13750280018520833
15	0.0	3.244668547341295E-4	8.301678364447981E-5	5.876283555281746E-6	3.0727554805447933E-6	2.6306552284788068E-5	1.2823966140931959E-5	0.010195413036813473	7.7056052604011E-4	4.397143077681094E-5	0.001313071319705352	4.2055448819748153E-4	1.2384217442577958E-4	0.0072607302024888095	0.9794162936257119
