sample	sampleName	total	chrx	chr16	fold	rpm	rpm.chrx	rpm.chr16	rpm.spikein	asyn.spikein	sf	meansf.25	ID	cells	time	group	batch	batch1
2415283_iaa_aid06_90min	2415283_iaa_aid06_90min.counts	295126151	191851	219563	0.873785656	0.003388382	650.0643855	743.9632146	808.9696531	803.0913283	1.007319622	0.954643163	2415283	aid06	90	IAA	aid1	aid1
2415280_iaa_aid06_mit	2415280_iaa_aid06_mit.counts	239507201	598396	724278	0.826196571	0.00417524	2498.4468	3024.034338	3273.879018	803.0913283	4.076596151	4	2415280	aid06	mit	IAA	aid1	aid1
2415287_aid23_asyn	2415287_aid23_asyn.counts	313868930	254865	274744	0.927645372	0.003186043	812.0109244	875.3462791	956.5473715	803.0913283	1.191081684	1	2415287	aid23	asyn	DMSO	aid1	aid1
2415292_dmso_aid23_120min	2415292_dmso_aid23_120min.counts	252121645	247376	216630	1.141928634	0.003966339	981.1771615	859.2280921	957.3458082	803.0913283	1.192075888	1.122457397	2415292	aid23	120	DMSO	aid1	aid1
2415293_dmso_aid23_180min	2415293_dmso_aid23_180min.counts	295461196	224043	224600	0.997520036	0.003384539	758.282316	760.1675044	835.995736	803.0913283	1.040972187	0.960017558	2415293	aid23	180	DMSO	aid1	aid1
2415294_dmso_aid23_240min	2415294_dmso_aid23_240min.counts	269054003	178159	173091	1.029279396	0.003716726	662.1681819	643.3318147	709.5486329	803.0913283	0.883521721	0.9145113775	2415294	aid23	240	DMSO	aid1	aid1
2415289_dmso_aid23_45min	2415289_dmso_aid23_45min.counts	291733644	532213	554589	0.959653004	0.003427784	1824.311357	1901.011458	2083.442594	803.0913283	2.594278534	2.0357628195	2415289	aid23	45	DMSO	aid1	aid1
2415290_dmso_aid23_60min	2415290_dmso_aid23_60min.counts	267054667	219077	234390	0.934668715	0.003744552	820.3451468	877.6854665	959.7199812	803.0913283	1.195032181	1.113897128	2415290	aid23	60	DMSO	aid1	aid1
2415291_dmso_aid23_90min	2415291_dmso_aid23_90min.counts	307243833	229992	238576	0.964019851	0.003254744	748.5650656	776.5037875	851.360294	803.0913283	1.060103956	0.877477256	2415291	aid23	90	DMSO	aid1	aid1
2415288_dmso_aid23_mit	2415288_dmso_aid23_mit.counts	255042672	808259	1124065	0.719050055	0.003920912	3169.112814	4407.360506	4724.271788	803.0913283	5.882608393	4	2415288	aid23	mit	DMSO	aid1	aid1
2415299_iaa_aid23_120min	2415299_iaa_aid23_120min.counts	278856902	180366	200128	0.901253198	0.003586069	646.8048619	717.672751	782.3532372	803.0913283	0.97417717	0.924050631	2415299	aid23	120	IAA	aid1	aid1
2415300_iaa_aid23_180min	2415300_iaa_aid23_180min.counts	301587419	244577	261782	0.934277376	0.003315788	810.9655264	868.0136621	949.1102147	803.0913283	1.181821022	1.023457724	2415300	aid23	180	IAA	aid1	aid1
2415301_iaa_aid23_240min	2415301_iaa_aid23_240min.counts	270566468	154025	181993	0.84632376	0.003695949	569.2686205	672.6369359	729.563798	803.0913283	0.908444373	0.995690468	2415301	aid23	240	IAA	aid1	aid1
2415296_iaa_aid23_45min	2415296_iaa_aid23_45min.counts	266253639	254653	311040	0.818714635	0.003755817	956.4301204	1168.209385	1263.852398	803.0913283	1.573734335	1.510597419	2415296	aid23	45	IAA	aid1	aid1
2415297_iaa_aid23_60min	2415297_iaa_aid23_60min.counts	256697357	176093	206283	0.853647659	0.003895638	685.9945971	803.6039109	872.2033706	803.0913283	1.086057513	1.091005435	2415297	aid23	60	IAA	aid1	aid1
2415298_iaa_aid23_90min	2415298_iaa_aid23_90min.counts	275770816	166548	183103	0.909586408	0.0036262	603.9362773	663.9680103	724.361638	803.0913283	0.901966704	0.954643163	2415298	aid23	90	IAA	aid1	aid1
